ID,PAY_AMT_APRIL,PAY_AMT_FEBRUARY,PAY_AMT_JANUARY,PAY_AMT_JUNE,PAY_AMT_MARCH,PAY_AMT_MAY,PAY_APRIL,PAY_FEBRUARY,PAY_JANUARY,PAY_JUNE,PAY_MARCH,PAY_MAY,BILL_AMT_APRIL,BILL_AMT_FEBRUARY,BILL_AMT_JANUARY,BILL_AMT_JUNE,BILL_AMT_MARCH,BILL_AMT_MAY,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,DEFAULT_JULY
0,0.0,680.0,10000.0,1300.0,22373.0,1000.0,0.0,-1.0,0.0,-1.0,0.0,0.0,13600.0,44024.0,18697.0,28991.0,0.0,24391.0,40000.0,2,2,2,26,0
1,2000.0,1903.0,2006.0,3212.0,1603.0,2106.0,0.0,0.0,0.0,0.0,0.0,0.0,53169.0,50372.0,49470.0,75662.0,50875.0,70073.0,80000.0,2,3,1,59,0
3,0.0,0.0,0.0,742.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,23570.0,0.0,735.0,200000.0,2,2,1,41,1
4,331.0,356.0,330.0,1140.0,341.0,1150.0,0.0,0.0,0.0,0.0,0.0,0.0,9044.0,9417.0,9617.0,8214.0,9225.0,8034.0,50000.0,1,2,1,43,0
5,1837.0,1254.0,1387.0,2100.0,1139.0,1847.0,0.0,0.0,0.0,0.0,0.0,0.0,44412.0,35704.0,36524.0,50840.0,45402.0,49592.0,60000.0,2,2,2,24,0
6,700.0,676.0,700.0,1384.0,670.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,21746.0,18461.0,18830.0,25234.0,18082.0,23518.0,50000.0,2,2,1,37,0
11,390.0,0.0,780.0,390.0,390.0,390.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,390.0,390.0,0.0,390.0,390.0,390.0,20000.0,2,2,1,28,1
13,633.0,1000.0,1000.0,4090.0,696.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,17637.0,18091.0,18750.0,47927.0,17680.0,50421.0,50000.0,2,1,1,54,1
16,678.0,1000.0,687.0,2286.0,695.0,1302.0,0.0,0.0,0.0,0.0,0.0,0.0,47206.0,19008.0,19687.0,48406.0,19189.0,49880.0,50000.0,1,2,2,45,1
17,2000.0,2000.0,2000.0,5000.0,3000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,34090.0,36829.0,37727.0,40441.0,34894.0,40937.0,170000.0,1,3,1,45,0
18,0.0,0.0,0.0,680.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,14472.0,0.0,680.0,210000.0,2,1,1,40,0
